timestamp_ms,latency_ms,phase
1775633279813,90,before
1775633279813,100,before
1775633279914,48,before
1775633279914,67,before
1775633279914,71,before
1775633279914,90,before
1775633279914,99,before
1775633280014,40,before
1775633280014,67,before
1775633280014,73,before
1775633280014,108,before
1775633280014,112,before
1775633280127,26,before
1775633280127,36,before
1775633280127,55,before
1775633280127,66,before
1775633280128,94,before
1775633280222,41,before
1775633280223,49,before
1775633280223,55,before
1775633280223,59,before
1775633280223,89,before
1775633280312,41,before
1775633280313,51,before
1775633280313,79,before
1775633280313,79,before
1775633280313,89,before
1775633280403,42,before
1775633280403,42,before
1775633280403,50,before
1775633280403,70,before
1775633280403,80,before
1775633280484,39,before
1775633280484,47,before
1775633280484,59,before
1775633280484,79,before
1775633280485,99,before
1775633280584,28,before
1775633280584,89,before
1775633280584,99,before
1775633280584,103,before
1775633280584,129,before
1775633280714,30,before
1775633280714,34,before
1775633280714,39,before
1775633280714,47,before
1775633280714,77,before
1775633280792,50,before
1775633280793,53,before
1775633280793,79,before
1775633280793,90,before
1775633280793,109,before
1775633280903,51,before
1775633280903,54,before
1775633280903,88,before
1775633280903,92,before
1775633280904,108,before
1775633281013,39,before
1775633281013,59,before
1775633281013,79,before
1775633281013,88,before
1775633281013,92,before
1775633281106,46,before
1775633281106,49,before
1775633281106,77,before
1775633281107,87,before
1775633281107,91,before
1775633281198,25,before
1775633281198,45,before
1775633281198,63,before
1775633281198,74,before
1775633281199,95,before
1775633281294,49,before
1775633281294,59,before
1775633281295,79,before
1775633281295,97,before
1775633281295,108,before
1775633281404,50,before
1775633281404,60,before
1775633281404,87,before
1775633281404,99,before
1775633281404,111,before
1775633281517,37,before
1775633281517,55,before
1775633281517,67,before
1775633281517,77,before
1775633281517,97,before
1775633281615,37,before
1775633281615,57,before
1775633281615,61,before
1775633281615,89,before
1775633281615,98,before
1775633281714,38,before
1775633281714,49,before
1775633281715,77,before
1775633281715,88,before
1775633281715,108,before
1775633281824,51,before
1775633281824,58,before
1775633281824,88,before
1775633281824,98,before
1775633281824,118,before
1775633281944,40,before
1775633281944,51,before
1775633281944,70,before
1775633281944,100,before
1775633281944,109,before
1775633282054,40,before
1775633282054,49,before
1775633282054,80,before
1775633282054,90,before
1775633282054,99,before
1775633282154,59,before
1775633282154,64,before
1775633282154,98,before
1775633282155,130,before
1775633282155,138,before
1775633282294,39,before
1775633282294,68,before
1775633282294,79,before
1775633282294,83,before
1775633282294,102,before
1775633282397,34,before
1775633282398,84,before
1775633282398,90,before
1775633282398,114,before
1775633282398,125,before
1775633282524,39,before
1775633282524,49,before
1775633282524,78,before
1775633282524,89,before
1775633282524,437,before
1775633282962,29,before
1775633282963,51,before
1775633282963,71,before
1775633282963,90,before
1775633282963,109,before
1775633283072,39,before
1775633283072,51,before
1775633283072,80,before
1775633283072,91,before
1775633283073,109,before
1775633283183,41,before
1775633283183,46,before
1775633283183,69,before
1775633283183,80,before
1775633283183,100,before
1775633283283,50,before
1775633283284,60,before
1775633283284,88,before
1775633283284,100,before
1775633283284,118,before
1775633283403,49,before
1775633283403,59,before
1775633283403,63,before
1775633283403,80,before
1775633283403,100,before
1775633283504,40,before
1775633283504,50,before
1775633283504,77,before
1775633283505,88,before
1775633283505,108,before
1775633283613,51,before
1775633283613,68,before
1775633283614,90,before
1775633283614,97,before
1775633283614,118,before
1775633283733,49,before
1775633283733,54,before
1775633283733,89,before
1775633283733,93,before
1775633283733,119,before
1775633283853,29,before
1775633283853,50,before
1775633283853,69,before
1775633283853,88,before
1775633283853,98,before
1775633283952,41,before
1775633283952,51,before
1775633283952,81,before
1775633283952,85,before
1775633283953,100,before
1775633284054,38,before
1775633284054,57,before
1775633284054,77,before
1775633284054,87,before
1775633284054,99,before
1775633284154,48,before
1775633284154,53,before
1775633284154,61,before
1775633284154,97,before
1775633284155,101,before
1775633284257,37,before
1775633284257,40,before
1775633284257,75,before
1775633284257,78,before
1775633284257,84,before
1775633284342,41,before
1775633284342,60,before
1775633284342,73,before
1775633284342,81,before
1775633284342,100,before
1775633284443,45,before
1775633284443,50,before
1775633284443,75,before
1775633284443,89,before
1775633284443,108,before
1775633284552,43,before
1775633284552,62,before
1775633284552,79,before
1775633284553,83,before
1775633284553,100,before
1775633284653,43,before
1775633284653,68,before
1775633284653,89,before
1775633284654,92,before
1775633284654,108,before
1775633284762,49,before
1775633284762,63,before
1775633284763,89,before
1775633284763,98,before
1775633284763,108,before
1775633284872,52,before
1775633284872,70,before
1775633284872,89,before
1775633284872,93,before
1775633284872,129,before
1775633285003,39,before
1775633285003,50,before
1775633285003,55,before
1775633285003,80,before
1775633285003,90,before
1775633285094,48,before
1775633285094,58,before
1775633285094,68,before
1775633285094,79,before
1775633285094,93,before
1775633285188,16,before
1775633285188,25,before
1775633285188,53,before
1775633285188,83,before
1775633285188,91,before
1775633285280,53,before
1775633285280,82,before
1775633285281,71,before
1775633285281,92,before
1775633285281,112,before
1775633285394,38,before
1775633285394,49,before
1775633285394,59,before
1775633285394,79,before
1775633285394,97,before
1775633285492,53,before
1775633285492,58,before
1775633285492,89,before
1775633285492,93,before
1775633285492,97,before
1775633285590,31,before
1775633285590,42,before
1775633285590,53,before
1775633285590,71,before
1775633285591,83,before
1775633285674,38,before
1775633285674,92,before
1775633285674,108,before
1775633285675,72,before
1775633285675,120,before
1775633285796,37,before
1775633285796,47,before
1775633285796,68,before
1775633285796,72,before
1775633285796,98,before
1775633285895,31,before
1775633285895,35,before
1775633285895,48,before
1775633285895,58,before
1775633285895,76,before
1775633285973,51,before
1775633285973,55,before
1775633285973,100,before
1775633285973,120,before
1775633285973,128,before
1775633286102,51,before
1775633286102,66,before
1775633286103,79,before
1775633286103,99,before
1775633286103,103,before
1775633286206,38,before
1775633286206,59,before
1775633286207,55,before
1775633286207,84,before
1775633286207,94,before
1775633286302,52,before
1775633286302,61,before
1775633286302,89,before
1775633286302,99,before
1775633286302,112,before
1775633286415,46,before
1775633286415,58,before
1775633286415,62,before
1775633286415,88,before
1775633286415,98,before
1775633286514,49,before
1775633286515,39,before
1775633286515,67,before
1775633286515,78,before
1775633286515,91,before
1775633286607,37,before
1775633286607,42,before
1775633286607,56,before
1775633286607,76,before
1775633286607,86,before
1775633286694,180,before
1775633286694,180,before
1775633286694,180,before
1775633286694,181,before
1775633286694,180,before
1775633286875,28,before
1775633286875,48,before
1775633286876,52,before
1775633286876,76,before
1775633286876,80,before
1775633286956,180,before
1775633286956,180,before
1775633286956,180,before
1775633286956,180,before
1775633286956,180,before
1775633287137,46,before
1775633287137,56,before
1775633287137,66,before
1775633287137,94,before
1775633287137,99,before
1775633287237,196,before
1775633287237,206,before
1775633287237,217,before
1775633287237,236,before
1775633287237,240,before
1775633287478,20,before
1775633287478,176,before
1775633287478,176,before
1775633287478,176,before
1775633287478,176,before
1775633287655,36,before
1775633287655,40,before
1775633287655,66,before
1775633287655,78,before
1775633287655,96,before
1775633287752,171,before
1775633287752,184,before
1775633287752,191,before
1775633287752,222,before
1775633287752,225,before
1775633287978,204,before
1775633287978,204,before
1775633287978,204,before
1775633287978,204,before
1775633287978,204,before
1775633288184,40,before
1775633288184,47,before
1775633288184,68,before
1775633288184,80,before
1775633288184,270,before
1775633288455,28,before
1775633288455,48,before
1775633288455,66,before
1775633288455,86,before
1775633288455,96,before
1775633288552,222,before
1775633288552,229,before
1775633288552,259,before
1775633288552,269,before
1775633288552,273,before
1775633288826,187,before
1775633288826,205,before
1775633288826,225,before
1775633288826,245,before
1775633288826,249,before
1775633289076,188,before
1775633289076,188,before
1775633289076,188,before
1775633289076,188,before
1775633289076,188,before
1775633289265,47,before
1775633289265,51,before
1775633289265,57,before
1775633289265,88,before
1775633289265,92,before
1775633289358,176,before
1775633289358,176,before
1775633289358,176,before
1775633289358,176,before
1775633289358,176,before
1775633289535,36,before
1775633289535,47,before
1775633289535,66,before
1775633289536,75,before
1775633289536,81,before
1775633289617,184,before
1775633289617,184,before
1775633289617,184,before
1775633289617,184,before
1775633289618,184,before
1775633289802,41,before
1775633289803,79,before
1775633289803,79,before
1775633289803,84,before
1775633289803,98,before
1775633289902,185,before
1775633289902,193,before
1775633289902,200,before
1775633289902,223,before
1775633289902,232,before
1775633290136,29,before
1775633290136,33,before
1775633290136,201,before
1775633290136,202,before
1775633290136,202,before
1775633290339,23,before
1775633290339,27,before
1775633290339,60,before
1775633290339,97,before
1775633290339,269,before
1775633290609,45,before
1775633290609,49,before
1775633290609,269,before
1775633290609,269,before
1775633290609,269,before
1775633290879,25,before
1775633290879,30,before
1775633290879,37,before
1775633290879,56,before
1775633290879,71,before
1775633290951,18,before
1775633290951,22,before
1775633290951,26,before
1775633290951,186,before
1775633290951,186,before
1775633291138,43,before
1775633291138,51,before
1775633291139,57,before
1775633291139,78,before
1775633291139,96,before
1775633291236,156,before
1775633291236,156,before
1775633291236,156,before
1775633291236,205,before
1775633291236,467,before
1775633291704,74,before
1775633291704,287,before
1775633291704,287,before
1775633291704,309,before
1775633291705,318,before
1775633292024,34,before
1775633292024,57,before
1775633292024,197,before
1775633292024,197,before
1775633292024,198,before
1775633292223,33,before
1775633292223,48,before
1775633292223,78,before
1775633292223,83,before
1775633292223,86,before
1775633292310,152,before
1775633292310,152,before
1775633292311,152,before
1775633292311,152,before
1775633292311,152,before
1775633292464,29,before
1775633292464,57,before
1775633292464,69,before
1775633292464,87,before
1775633292464,91,before
1775633292556,57,before
1775633292556,67,before
1775633292556,75,before
1775633292556,106,before
1775633292556,116,before
1775633292673,40,before
1775633292673,68,before
1775633292673,80,before
1775633292673,101,before
1775633292673,118,before
1775633292792,41,before
1775633292792,50,before
1775633292792,80,before
1775633292792,88,before
1775633292792,99,before
1775633292892,63,before
1775633292892,75,before
1775633292892,91,before
1775633292892,103,before
1775633292892,117,before
1775633293010,34,before
1775633293010,55,before
1775633293011,86,before
1775633293011,87,before
1775633293011,115,before
1775633293126,46,before
1775633293126,49,before
1775633293126,85,before
1775633293126,89,before
1775633293126,330,before
1775633293457,37,before
1775633293457,38,before
1775633293457,44,before
1775633293457,76,before
1775633293457,85,before
1775633293543,20,before
1775633293543,40,before
1775633293543,58,before
1775633293543,72,before
1775633293543,81,before
1775633293625,48,before
1775633293625,57,before
1775633293625,67,before
1775633293625,88,before
1775633293625,92,before
1775633293718,25,before
1775633293718,56,before
1775633293718,65,before
1775633293718,93,before
1775633293718,104,before
1775633293823,41,before
1775633293823,47,before
1775633293823,70,before
1775633293823,80,before
1775633293823,312,before
1775633294136,47,before
1775633294136,51,before
1775633294136,85,before
1775633294136,89,before
1775633294136,125,before
1775633294262,17,before
