system,experiment,request_id,is_cold,client_us,network_rtt_us,function_exec_us,overhead_us,pct_network,pct_function,pct_overhead
Lambda,throughput-c1,06d736600be44476b3cdf9d6fe3f9616,False,34898,7566.0,4161,23171.0,21.7,11.9,66.4
Lambda,throughput-c1,cc2d7e10027f4403808f98aecf2b4f8e,False,36818,5451.0,2598,28769.0,14.8,7.1,78.1
Lambda,throughput-c1,99de8d1c923b4c16980224bbcac16ba6,False,24368,4878.0,2086,17404.0,20.0,8.6,71.4
Lambda,throughput-c1,7db91a9635a9401aa403f63f76af9b78,False,29374,4845.0,2174,22355.0,16.5,7.4,76.1
Lambda,throughput-c1,69b284e13cf44f62bae6781c4404a01d,False,29306,5005.0,2114,22187.0,17.1,7.2,75.7
Lambda,throughput-c1,181df2de05d347de9268e23fca069aea,False,27778,4712.0,2083,20983.0,17.0,7.5,75.5
Lambda,throughput-c1,71721fb52c114b588ebd5c6c4409caf0,False,27324,4628.0,2139,20557.0,16.9,7.8,75.2
Lambda,throughput-c1,49a64f68257c4f07b690d074543b5c51,False,26801,5471.0,2165,19165.0,20.4,8.1,71.5
Lambda,throughput-c1,94a7a012be864d199b9abed4764208e9,False,38559,4640.0,2278,31641.0,12.0,5.9,82.1
Lambda,throughput-c1,f1e6b438472340a4bab189389c60f0dd,False,23310,4815.0,2156,16339.0,20.7,9.2,70.1
Lambda,throughput-c1,1b79bf7b821e4dcf8637a62bd444ba97,False,34142,4861.0,3820,25461.0,14.2,11.2,74.6
Lambda,throughput-c1,ca1b7a013efb4369a45b79140077864c,False,28587,4861.0,2081,21645.0,17.0,7.3,75.7
Lambda,throughput-c1,9f291dcaa19d445baa22abebedeab097,False,22824,4685.0,2383,15756.0,20.5,10.4,69.0
Lambda,throughput-c1,2f84ff0c2e3a46a5b226e057f07c8438,False,21276,4700.0,2253,14323.0,22.1,10.6,67.3
Lambda,throughput-c1,a1e0ea4233a3475c88872115db55b30f,False,28033,4809.0,2311,20913.0,17.2,8.2,74.6
Lambda,throughput-c1,8f9c86e581544f83a645886afb78c9c1,False,31044,4546.0,2204,24294.0,14.6,7.1,78.3
Lambda,throughput-c1,75feb198e3c041d4b3a86a63cf36f31a,False,26167,4711.0,2219,19237.0,18.0,8.5,73.5
Lambda,throughput-c1,6784f6b4052341b58feb2365b4eacb40,False,26369,5183.0,2424,18762.0,19.7,9.2,71.2
